"gender","decade","speaker","word","preceding","stress","following","foll.broad","traj","duration","measurement.no","f1","f2","f3"
"M",2000,"00-O-m01","easter","@","schwa","E","unrounded.vowel","0004-00-O-m01-mw74__7.423-11.278.wav",0.106738374,10,489.7494305,1771.63012,2756.264237
"M",2000,"00-O-m01","more","5","full","D","coronal","0005-00-O-m01-mw74__7.423-11.278.wav",0.119007153,0,364.4646925,722.0299986,2172.728059
"M",2000,"00-O-m01","more","5","full","D","coronal","0005-00-O-m01-mw74__7.423-11.278.wav",0.119007153,1,330.2961276,717.5398633,2164.009112
"M",2000,"00-O-m01","more","5","full","D","coronal","0005-00-O-m01-mw74__7.423-11.278.wav",0.119007153,2,318.9066059,742.5245745,2164.009112
"M",2000,"00-O-m01","more","5","full","D","coronal","0005-00-O-m01-mw74__7.423-11.278.wav",0.119007153,3,330.2961276,774.4874715,2174.819568
"M",2000,"00-O-m01","more","5","full","D","coronal","0005-00-O-m01-mw74__7.423-11.278.wav",0.119007153,4,353.0751708,785.8769932,2186.788155
"M",2000,"00-O-m01","more","5","full","D","coronal","0005-00-O-m01-mw74__7.423-11.278.wav",0.119007153,5,370.8643449,808.4025299,2232.346241
"M",2000,"00-O-m01","more","5","full","D","coronal","0005-00-O-m01-mw74__7.423-11.278.wav",0.119007153,6,398.6332574,865.6036446,2255.125285
"M",2000,"00-O-m01","more","5","full","D","coronal","0005-00-O-m01-mw74__7.423-11.278.wav",0.119007153,7,444.191344,911.1617312,2255.125285
"M",2000,"00-O-m01","more","5","full","D","coronal","0005-00-O-m01-mw74__7.423-11.278.wav",0.119007153,8,466.9703872,945.3302961,2255.125285
"M",2000,"00-O-m01","more","5","full","D","coronal","0005-00-O-m01-mw74__7.423-11.278.wav",0.119007153,9,482.2958374,945.3302961,2220.95672
"M",2000,"00-O-m01","more","5","full","D","coronal","0005-00-O-m01-mw74__7.423-11.278.wav",0.119007153,10,455.5808656,884.1108741,2204.648286
"M",2000,"00-O-m01","there","@","schwa","V","unrounded.vowel","0007-00-O-m01-mw74__17.560-19.558.wav",0.092656217,0,428.6111305,1747.046754,2640.408714
"M",2000,"00-O-m01","there","@","schwa","V","unrounded.vowel","0007-00-O-m01-mw74__17.560-19.558.wav",0.092656217,1,410.022779,1788.154897,2626.921062
"M",2000,"00-O-m01","there","@","schwa","V","unrounded.vowel","0007-00-O-m01-mw74__17.560-19.558.wav",0.092656217,2,432.8018223,1776.927306,2627.111023
"M",2000,"00-O-m01","there","@","schwa","V","unrounded.vowel","0007-00-O-m01-mw74__17.560-19.558.wav",0.092656217,3,444.191344,1810.933941,2653.758542
"M",2000,"00-O-m01","there","@","schwa","V","unrounded.vowel","0007-00-O-m01-mw74__17.560-19.558.wav",0.092656217,4,455.5808656,1810.933941,2687.927107
